candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,fault_ordering_mode,fault_history_profile,adaptive_phase2_enabled,adaptive_phase2_profile_faults,adaptive_phase2_attempted_faults,adaptive_phase2_skipped_faults,fault_trace_attempts,generated_patterns_traced,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,score,raw_score,passes_constraints,constraint_reason,run_dir,fault_trace_path,pattern_trace_path,drop_trace_path
history_adaptive_phase2,adaptive_phase2,Use the history profile to select only hard/high-value faults for phase-2 FAN and assign per-fault phase-2 budgets.,1,20260616-160316_candidate_history_adaptive_phase2_trial1_pcitc_a214c188,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/adaptive_phase2/pcitc_fault_profile.json""]",0,True,False,,99.826,5972,6003,5972,75768,128,4,44,10.35,history,pcitc_fault_profile.json,True,1,0,4,6139,6003,12.599700149925038,11.599700149925038,17505,True,1,True,1.0,39.071,39.071,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160316_candidate_history_adaptive_phase2_trial1_pcitc_a214c188,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160316_candidate_history_adaptive_phase2_trial1_pcitc_a214c188/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160316_candidate_history_adaptive_phase2_trial1_pcitc_a214c188/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160316_candidate_history_adaptive_phase2_trial1_pcitc_a214c188/pcitc.test.droptrace.csv
history_adaptive_phase2,adaptive_phase2,Use the history profile to select only hard/high-value faults for phase-2 FAN and assign per-fault phase-2 budgets.,2,20260616-160323_candidate_history_adaptive_phase2_trial2_pcitc_817b0184,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/adaptive_phase2/pcitc_fault_profile.json""]",0,True,False,,99.826,5971,6003,5971,75768,128,4,44,10.7,history,pcitc_fault_profile.json,True,1,0,4,6139,6003,12.599700149925038,11.599700149925038,17505,True,1,True,1.0,39.04599999999999,39.04599999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160323_candidate_history_adaptive_phase2_trial2_pcitc_817b0184,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160323_candidate_history_adaptive_phase2_trial2_pcitc_817b0184/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160323_candidate_history_adaptive_phase2_trial2_pcitc_817b0184/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160323_candidate_history_adaptive_phase2_trial2_pcitc_817b0184/pcitc.test.droptrace.csv
history_adaptive_phase2,adaptive_phase2,Use the history profile to select only hard/high-value faults for phase-2 FAN and assign per-fault phase-2 budgets.,3,20260616-160329_candidate_history_adaptive_phase2_trial3_pcitc_4e00954c,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/adaptive_phase2/pcitc_fault_profile.json""]",0,True,False,,99.826,5970,6003,5970,75768,128,4,44,10.367,history,pcitc_fault_profile.json,True,1,0,4,6139,6003,12.599700149925038,11.599700149925038,17505,True,1,True,1.0,39.08929999999999,39.08929999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160329_candidate_history_adaptive_phase2_trial3_pcitc_4e00954c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160329_candidate_history_adaptive_phase2_trial3_pcitc_4e00954c/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160329_candidate_history_adaptive_phase2_trial3_pcitc_4e00954c/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160329_candidate_history_adaptive_phase2_trial3_pcitc_4e00954c/pcitc.test.droptrace.csv
history_adaptive_phase2,adaptive_phase2,Use the history profile to select only hard/high-value faults for phase-2 FAN and assign per-fault phase-2 budgets.,1,20260616-160336_candidate_history_adaptive_phase2_trial1_destc_965fff13,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/adaptive_phase2/destc_fault_profile.json""]",0,True,False,,100.0,362,384,362,295215,0,0,1,11.517,history,destc_fault_profile.json,True,0,0,0,384,384,768.7890625,767.7890625,74190,True,1,True,1.0,95.22829999999999,95.22829999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160336_candidate_history_adaptive_phase2_trial1_destc_965fff13,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160336_candidate_history_adaptive_phase2_trial1_destc_965fff13/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160336_candidate_history_adaptive_phase2_trial1_destc_965fff13/destc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160336_candidate_history_adaptive_phase2_trial1_destc_965fff13/destc.test.droptrace.csv
history_adaptive_phase2,adaptive_phase2,Use the history profile to select only hard/high-value faults for phase-2 FAN and assign per-fault phase-2 budgets.,2,20260616-160343_candidate_history_adaptive_phase2_trial2_destc_c3cb83e7,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/adaptive_phase2/destc_fault_profile.json""]",0,True,False,,100.0,361,384,361,295215,0,0,1,12.2,history,destc_fault_profile.json,True,0,0,0,384,384,768.7890625,767.7890625,74190,True,1,True,1.0,95.17,95.17,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160343_candidate_history_adaptive_phase2_trial2_destc_c3cb83e7,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160343_candidate_history_adaptive_phase2_trial2_destc_c3cb83e7/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160343_candidate_history_adaptive_phase2_trial2_destc_c3cb83e7/destc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160343_candidate_history_adaptive_phase2_trial2_destc_c3cb83e7/destc.test.droptrace.csv
history_adaptive_phase2,adaptive_phase2,Use the history profile to select only hard/high-value faults for phase-2 FAN and assign per-fault phase-2 budgets.,3,20260616-160350_candidate_history_adaptive_phase2_trial3_destc_286a128a,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/adaptive_phase2/destc_fault_profile.json""]",0,True,False,,100.0,364,384,364,295215,0,0,1,11.867,history,destc_fault_profile.json,True,0,0,0,384,384,768.7890625,767.7890625,74190,True,1,True,1.0,95.1733,95.1733,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160350_candidate_history_adaptive_phase2_trial3_destc_286a128a,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160350_candidate_history_adaptive_phase2_trial3_destc_286a128a/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160350_candidate_history_adaptive_phase2_trial3_destc_286a128a/destc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160350_candidate_history_adaptive_phase2_trial3_destc_286a128a/destc.test.droptrace.csv
history_adaptive_phase2,adaptive_phase2,Use the history profile to select only hard/high-value faults for phase-2 FAN and assign per-fault phase-2 budgets.,1,20260616-160357_candidate_history_adaptive_phase2_trial1_DMAtc_5c7e6013,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/adaptive_phase2/DMAtc_fault_profile.json""]",0,True,False,,94.562,10760,10812,10760,77788,2011,2219,16455,27.433,history,DMAtc_fault_profile.json,True,572,571,1671,17284,10812,6.8033666296707365,5.8033666296707365,14685,True,1,True,1.0,-15.78130000000001,-15.78130000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160357_candidate_history_adaptive_phase2_trial1_DMAtc_5c7e6013,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160357_candidate_history_adaptive_phase2_trial1_DMAtc_5c7e6013/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160357_candidate_history_adaptive_phase2_trial1_DMAtc_5c7e6013/DMAtc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160357_candidate_history_adaptive_phase2_trial1_DMAtc_5c7e6013/DMAtc.test.droptrace.csv
history_adaptive_phase2,adaptive_phase2,Use the history profile to select only hard/high-value faults for phase-2 FAN and assign per-fault phase-2 budgets.,2,20260616-160414_candidate_history_adaptive_phase2_trial2_DMAtc_a68ef2dc,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/adaptive_phase2/DMAtc_fault_profile.json""]",0,True,False,,94.562,10757,10812,10757,77788,2011,2219,16455,27.567,history,DMAtc_fault_profile.json,True,572,571,1671,17284,10812,6.8033666296707365,5.8033666296707365,14685,True,1,True,1.0,-15.76470000000001,-15.76470000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160414_candidate_history_adaptive_phase2_trial2_DMAtc_a68ef2dc,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160414_candidate_history_adaptive_phase2_trial2_DMAtc_a68ef2dc/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160414_candidate_history_adaptive_phase2_trial2_DMAtc_a68ef2dc/DMAtc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160414_candidate_history_adaptive_phase2_trial2_DMAtc_a68ef2dc/DMAtc.test.droptrace.csv
history_adaptive_phase2,adaptive_phase2,Use the history profile to select only hard/high-value faults for phase-2 FAN and assign per-fault phase-2 budgets.,3,20260616-160431_candidate_history_adaptive_phase2_trial3_DMAtc_6e0b7e9c,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/adaptive_phase2/DMAtc_fault_profile.json""]",0,True,False,,94.562,10754,10812,10754,77788,2011,2219,16455,27.083,history,DMAtc_fault_profile.json,True,572,571,1671,17284,10812,6.8033666296707365,5.8033666296707365,14685,True,1,True,1.0,-15.686300000000008,-15.686300000000008,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160431_candidate_history_adaptive_phase2_trial3_DMAtc_6e0b7e9c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160431_candidate_history_adaptive_phase2_trial3_DMAtc_6e0b7e9c/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160431_candidate_history_adaptive_phase2_trial3_DMAtc_6e0b7e9c/DMAtc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160431_candidate_history_adaptive_phase2_trial3_DMAtc_6e0b7e9c/DMAtc.test.droptrace.csv
history_adaptive_phase2_c1,adaptive_phase2,Combine adaptive phase-2 FAN budgeting with the current runtime-first compaction setting.,1,20260616-160447_candidate_history_adaptive_phase2_c1_trial1_pcitc_b9d63310,pcitc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/adaptive_phase2/pcitc_fault_profile.json""]",0,True,False,,99.826,5969,6003,5969,75768,128,4,44,10.75,history,pcitc_fault_profile.json,True,1,0,4,6139,6003,12.599700149925038,11.599700149925038,17505,True,1,False,1.0,39.06099999999999,39.06099999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160447_candidate_history_adaptive_phase2_c1_trial1_pcitc_b9d63310,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160447_candidate_history_adaptive_phase2_c1_trial1_pcitc_b9d63310/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160447_candidate_history_adaptive_phase2_c1_trial1_pcitc_b9d63310/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160447_candidate_history_adaptive_phase2_c1_trial1_pcitc_b9d63310/pcitc.test.droptrace.csv
